index,file,EPI,Start,Stop,epi1,epi2,epi3,start1,start2,start3,stop1,stop2,stop3
94,a_25,HVF,657503,662299,DVF,HVF,HAS,662300,663143,663922,663142,663921,668420
95,a_25,HVF,760915,767513,DVF,HVF,HPE,767514,768353,769004,768352,769003,775785
96,a_25,HPE,769004,775785,DPE,HPE,HAS,775786,776628,777229,776627,777228,779568
97,a_25,HVF,871332,877135,DVF,HVF,HPE,877136,877978,878431,877977,878430,883412
98,a_25,HVF,980701,988456,DVF,HVF,HPE,988457,989298,990292,989297,990291,1448053
99,a_26,HVF,160690,169930,DVF,HVF,HPE,169931,170760,171353,170759,171352,173805
100,a_26,HPE,174645,177483,DPE,HPE,HVF,177484,178325,179002,178324,179001,180422
101,a_27,HVF,142604,144191,DVF,HVF,HAS,144192,145019,145849,145018,145848,148393
102,a_27,HVF,249209,253575,DVF,HVF,HPE,253576,254419,254655,254418,254654,260410
103,a_27,HPR,260411,281680,DPR,HPR,HPE,281681,282509,283205,282508,283204,290845
104,a_27,HVF,387819,392955,DVF,HVF,HPE,392956,393799,393968,393798,393967,401966
105,a_27,HVF,755592,760070,DVF,HVF,HAS,760071,760914,761003,760913,761002,762543
106,a_27,HVF,883162,888433,DVF,HVF,HAS,888434,889274,889300,889273,889299,898741
107,a_27,HVF,910884,913090,DVF,HVF,HAS,913091,913934,914055,913933,914054,914677
108,a_27,HVF,916638,920508,DVF,HVF,HAS,920509,921349,921487,921348,921486,929425
109,a_28,HVF,102307,107400,DVF,HVF,HPE,107401,108242,108441,108241,108440,113853
110,a_28,HVF,403363,406351,DVF,HVF,HAS,406352,407182,407310,407181,407309,409440
111,a_29,HVF,27828,37761,DVF,HVF,HPE,37762,38602,39108,38601,39107,42369
112,a_29,HVF,48401,61793,DVF,HVF,HAS,61794,62622,62988,62621,62987,67388
113,a_31,HVT,89253,93862,DVT,HVT,HAS,93863,94705,95007,94704,95006,103754
114,a_32,HVF,113093,117162,DVF,HVF,HAS,117163,118005,118489,118004,118488,122219
115,a_33,HVF,157085,162429,DVF,HVF,HAS,162430,163271,164411,163270,164410,167617
116,a_34,HVF,8510,96963,DVF,HVF,HAS,96964,97792,99288,97791,99287,103510
117,a_34,HVF,420330,425807,DVF,HVF,HPR,425808,426637,427193,426636,427192,657634
118,a_34,HVF,677967,678282,DVF,HVF,HPR,678283,679122,680403,679121,680402,698269
119,a_34,HVF,735279,741778,DVF,HVF,HPE,741779,742622,742924,742621,742923,747478
120,a_34,HVT,947898,964794,DVT,HVT,HPR,964795,965637,966555,965636,966554,1837500
121,a_35,HVF,117601,122809,DVF,HVF,HAS,122810,123649,124101,123648,124100,126849
122,a_35,HVF,452702,458180,DVF,HVF,HAS,458181,459024,459477,459023,459476,459637
123,a_36,HVF,1,283,DVF,HVF,HAS,284,1124,1675,1123,1674,5526
124,a_36,HVF,39783,46410,DVF,HVF,HPR,46411,47254,47485,47253,47484,511507
125,a_37,HVF,109994,113887,DVF,HVF,HAS,113888,114717,115373,114716,115372,118958
126,a_38,HVF,429005,436757,DVF,HVF,HPR,436758,437584,438186,437583,438185,448921
127,a_38,HVF,448922,454807,DVF,HVF,HPR,454808,455649,456014,455648,456013,462131
128,a_38,HVF,462132,468007,DVF,HVF,HPR,468008,468849,469088,468848,469087,471806
129,a_38,HVF,471807,476289,DVF,HVF,HPR,476290,477134,477403,477133,477402,482546
