index,file,EPI,Start,Stop,epi1,epi2,epi3,start1,start2,start3,stop1,stop2,stop3,override_function,override_reason,valid
412,a_306,HVT,1331944,1335999,DVT,HVT,HPR,1336000,1336828,1337421,1336827,1337420,1341870,shift_transition,overlap with DFB,true
414,a_306,HVT,1440449,1449824,DVT,HVT,HPR,1449825,1450653,1451138,1450652,1451137,1494123,shift_transition,overlap with DFB,true
416,a_306,HVT,1541132,1551168,DVT,HVT,HPR,1551169,1551993,1552125,1551992,1552124,1557500,shift_transition,overlap with DFB,true
419,l_313,HAS,444927,467777,DAS,HAS,HPE,467778,468620,469129,468619,469128,473144,remove,noisy,false
421,l_313,HVF,659535,675008,DVF,HVF,HPE,675009,675835,676397,675834,676396,683359,shift_transition,overlap with DFB,true
427,l_318,HVF,215791,229908,DVF,HVF,HPE,229909,230736,231120,230735,231119,235079,shift_transition,overlap with DFB,true
428,l_320,HVF,189346,199131,DVF,HVF,HAS,199132,199960,201095,199959,201094,232458,shift_transition,overlap with DFB,true
430,l_321,HVF,349567,367091,DVF,HVF,HPR,367092,367921,368614,367920,368613,570270,shift_transition,overlap with DFB,true
431,l_322,HVF,54097,64052,DVF,HVF,HAS,64053,64881,65375,64880,65374,66297,shift_transition,overlap with DFB,true
435,l_322,HPE,682481,689528,DPE,HPE,HAS,689529,690356,690958,690355,690957,702796,shift_transition,overlap with DFB,true
436,l_323,HVF,1,2121,DVF,HVF,HVT,2122,2947,3698,2946,3697,13417,shift_transition,overlap with DFB,true
437,l_323,HVT,3698,13412,DVT,HVT,HAS,13413,14242,14974,14241,14973,23736,shift_transition,overlap with DFB,true
449,l_331,HVF,679678,693033,DVF,HVF,HAS,693034,693858,694555,693857,694554,700800,shift_transition,overlap with DFB,true
451,l_332,HVF,277063,289314,DVF,HVF,HPE,289315,290143,290736,290142,290735,294468,shift_transition,overlap with DFB,true
453,l_332,HVF,378300,391401,DVF,HVF,HPR,391402,392228,392441,392227,392440,404929,shift_transition,overlap with DFB,true
454,l_332,HVF,420924,427852,DVF,HVF,HPE,427853,428678,429037,428677,429036,431428,shift_transition,overlap with DFB,true
456,l_332,HVF,543297,561561,DVF,HVF,HPE,561562,562388,563100,562387,563099,569176,shift_transition,overlap with DFB,true
459,l_335,HVF,51463,61466,DVF,HVF,HAS,61467,62295,62566,62294,62565,87652,shift_transition,overlap with DFB,true
460,l_335,HVF,118075,128021,DVF,HVF,HPE,128022,128850,129660,128849,129659,145335,shift_transition,overlap with DFB,true
462,l_335,HVF,885410,888027,DVF,HVF,HPE,888028,888855,889149,888854,889148,912812,shift_transition,overlap with DFB,true
464,l_336,HVF,65509,69578,DVF,HVF,HAS,69579,70404,71157,70403,71156,78112,shift_transition,overlap with DFB,true
465,l_336,HVF,187116,202472,DVF,HVF,HAS,202473,203299,204022,203298,204021,206548,shift_transition,overlap with DFB,true
467,l_336,HVF,467495,481141,DVF,HVF,HPE,481142,481969,482686,481968,482685,574533,shift_transition,overlap with DFB,true
475,l_342,HVF,680779,692515,DVF,HVF,HPE,692516,693344,693734,693343,693733,695543,shift_transition,overlap with DFB,true
487,l_350,HVF,144386,158874,DVF,HVF,HAS,158875,159700,160378,159699,160377,169767,shift_transition,overlap with DFB,true
